metric,value,unit,scope,status,reconstruction_method,evidence,notes
decode_worker_1_max_waiting,0.0,requests,"one decode worker, sum of complete DP8 rank-local scheduler shards",Validated reconstruction,sum of validated independent rank-local scheduler shards,raw 1-second decode DP rank grids + SGLang DP attention source semantics,A logical request is assigned to one DP shard under the validated source mapping.
decode_cluster_max_running,17.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Highest reconstructed sum across exported one-second scheduler occupancy bins. Not an instantaneous unique-request maximum.
decode_cluster_p50_running,4.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Time-weighted distribution of reconstructed exported one-second scheduler occupancy-bin sums; not instantaneous unique-request counts.
decode_cluster_p90_running,10.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Time-weighted distribution of reconstructed exported one-second scheduler occupancy-bin sums; not instantaneous unique-request counts.
decode_cluster_p95_running,12.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Time-weighted distribution of reconstructed exported one-second scheduler occupancy-bin sums; not instantaneous unique-request counts.
decode_cluster_max_waiting,0.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Generic SGLang decode waiting queue only; this does not assert that all P/D-specific decode queues were zero.
decode_cluster_p50_waiting,0.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Generic SGLang decode waiting queue only; this does not assert that all P/D-specific decode queues were zero.
decode_cluster_p90_waiting,0.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Generic SGLang decode waiting queue only; this does not assert that all P/D-specific decode queues were zero.
decode_cluster_p95_waiting,0.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Generic SGLang decode waiting queue only; this does not assert that all P/D-specific decode queues were zero.
decode_cluster_waiting_positive_fraction,0.0,fraction,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,raw decode queue rank series,"Entire observed decode raw rank-series window has generic queue=0; this is not a claim that all P/D-specific decode queues, Dynamo queues, or frontend queues are zero."
decode_waiting_all_zero,True,boolean,all observed profiling-window decode DP-rank sglang:num_queue_reqs samples,Evidence,raw rank-timeslice check,server_metrics_export.json 1-second AIPerf bins,The metric's zero scope is generic SGLang decode num_queue_reqs only; separate P/D preallocation and transfer queue metrics are retained below.
decode_cluster_prealloc_queue_max,5.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",P/D-specific decode preallocation queue; it is deliberately not merged with generic num_queue_reqs or another P/D queue.
decode_cluster_prealloc_queue_p90,2.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",P/D-specific decode preallocation queue; it is deliberately not merged with generic num_queue_reqs or another P/D queue.
decode_cluster_prealloc_queue_positive_fraction,0.32596656243398603,fraction,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Fraction of common endpoint-interval duration with p/d-specific decode preallocation queue > 0; not a unique request queue fraction.
decode_cluster_transfer_queue_max,4.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",P/D-specific decode transfer queue; it is deliberately not merged with generic num_queue_reqs or another P/D queue.
decode_cluster_transfer_queue_p90,1.0,requests,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",P/D-specific decode transfer queue; it is deliberately not merged with generic num_queue_reqs or another P/D queue.
decode_cluster_transfer_queue_positive_fraction,0.1234542479905066,fraction,"two decode workers, exact intersections of exported one-second scheduler occupancy bins",Validated reconstruction,sum of validated worker scheduler counts over exact endpoint interval intersections,"raw decode DP grids, validated worker sums, exact endpoint-interval intersection",Fraction of common endpoint-interval duration with p/d-specific decode transfer queue > 0; not a unique request queue fraction.
decode_occupancy_timeslice_selected_field,avg,raw timeslice field,decode running-request reconstruction input,Evidence,raw timeslice field inventory,c8_decode_timeslice_field_semantics.csv,selected raw avg field from exported one-second scheduler occupancy bins; not an instantaneous unique-request maximum.
backend_stage_active_max,Unknown,requests,P/D combined backend stage occupancy,Unknown,withheld: prefill unique worker union is unknown and P/D handoff overlap is not request-correlated,rank-validation plus absent lifecycle join,Do not add prefill and decode maxima or unrelated-timestamp maxima.
backend_stage_active_p90,Unknown,requests,P/D combined backend stage occupancy,Unknown,withheld: prefill unique worker union is unknown and P/D handoff overlap is not request-correlated,rank-validation plus absent lifecycle join,Unknown is intentionally not converted to zero.
unique_global_running_max,Unknown,requests,unique logical requests across prefill and decode stages,Unknown,no request-correlated P/D lifecycle or stage deduplication evidence,public profile/export/log scope,P/D sums can double-count a handoff; HTTP overlap is a separate metric.
prefill_tp_rank_semantics,cp_rank_local_views_no_unique_union,classification,prefill TP8/ATTN_CP8 rank metric semantics,Strong inference,raw rank equality plus source topology,c8_scheduler_rank_semantics_validation.csv,Neither multiply nor assert a worker logical union.
decode_dp_rank_semantics,independent_scheduler_shards_validated,classification,decode TP8/DP8 metric semantics,Validated reconstruction,source controller semantics + raw complete DP grids,c8_scheduler_source_semantics.csv + rank validation,Sum is permitted within a decode worker only for complete raw DP grids.
